Country Name,Rank,Male,Female,Average,Forest area (1000 ha),Country Code,Population (1000)
Monaco,1,85.6,93.5,89.4,0,MCO,38964
Japan,2,81.9,88.8,85.3,24935,JPN,126264931
Singapore,3,82.6,88.1,85.2,16,SGP,5703569
San Marino,5,80.8,86.1,83.3,1,SMR,33860
Iceland,6,80.9,85.4,83.1,51,ISL,361313
Andorra,8,80.7,85.2,82.9,16,AND,77142
Switzerland,10,80.3,85.1,82.6,1269,CHE,8574832
Israel,11,80.7,84.5,82.5,140,ISR,9053300
South Korea,12,79.3,85.8,82.5,6030,KOR,51269185
Luxembourg,13,79.9,84.9,82.3,89,LUX,619896
Australia,14,79.8,84.9,82.3,134005,AUS,25364307
Italy,15,79.6,85.1,82.3,9566,ITA,60297396
Sweden,16,80.2,84.2,82.1,27980,SWE,10285453
Canada,17,79.3,84.7,81.9,346928,CAN,37589262
Liechtenstein,19,79.7,84.7,81.9,7,LIE,38019
France,20,78.8,85.2,81.9,17253,FRA,67081000
Norway,21,79.8,84,81.9,12180,NOR,5347896
Spain,22,78.8,84.9,81.8,18572,ESP,47076781
Austria,23,78.9,84.4,81.6,3899,AUT,8877067
Bermuda,25,78.2,84.6,81.4,1,BMU,63918
Netherlands,26,79.3,83.7,81.4,370,NLD,17332850
Cayman Islands,27,78.6,84.1,81.3,13,CYM,64948
New Zealand,29,79.1,83.5,81.3,9893,NZL,4917000
Belgium,30,78.5,83.8,81.1,689,BEL,11484055
Finland,31,78,84.1,81,22409,FIN,5520314
Ireland,32,78.6,83.4,80.9,782,IRL,4941444
Puerto Rico,33,77.6,84.4,80.9,496,PRI,3193694
Germany,34,78.5,83.3,80.8,11419,DEU,83132799
United Kingdom,35,78.6,83.1,80.8,3190,GBR,66834405
Greece,36,78,83.4,80.7,3902,GRC,10716322
Qatar,43,77.7,82.2,80,0,QAT,2832067
Denmark,47,77.1,82.1,79.5,628,DNK,5818553
Portugal,48,76.2,82.9,79.4,3312,PRT,10269417
U.S. Virgin Islands,49,76.2,82.8,79.4,20,VIR,104425
Chile,51,75.9,82.1,78.9,18211,CHL,18952038
Cuba,52,76.5,81.3,78.8,3242,CUB,11333483
Cyprus,53,76,81.8,78.8,173,CYP,1198575
U.S,54,76.8,81,78.8,309795,USA,327167439
Panama,56,76,81.7,78.8,4214,PAN,4246439
